epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,2349.92,1.82948,2.91856,2.14561,0.87156,0.24608,0.3346,0.19716,2.02838,3.0212,2.39344,0.0008911,0.0008911,0.0008911
13,2537.23,1.79391,2.87224,2.16183,0.38805,0.33561,0.26061,0.1664,2.09967,3.80237,2.48349,0.0008812,0.0008812,0.0008812
14,2705.26,1.79114,2.82063,2.1109,0.86888,0.28961,0.35912,0.19715,1.93297,2.87107,2.28598,0.0008713,0.0008713,0.0008713
15,2881.97,1.71371,2.71493,2.08531,0.5226,0.29047,0.27811,0.16792,2.08055,3.11887,2.41125,0.0008614,0.0008614,0.0008614
16,3067.2,1.70369,2.67827,2.06551,0.56247,0.35177,0.34275,0.20215,1.97907,2.80054,2.27132,0.0008515,0.0008515,0.0008515
17,3260.12,1.69243,2.63071,2.03148,0.53468,0.42198,0.38464,0.23962,1.89983,2.74453,2.23102,0.0008416,0.0008416,0.0008416
18,3430.2,1.6289,2.54158,1.99844,0.36226,0.35548,0.36351,0.23835,1.88896,2.67551,2.22761,0.0008317,0.0008317,0.0008317
19,3590.36,1.68769,2.6145,2.04043,0.4401,0.39368,0.38904,0.23131,1.88776,2.58489,2.18432,0.0008218,0.0008218,0.0008218
20,3757.45,1.65034,2.51764,1.99971,0.89086,0.33047,0.40641,0.26862,1.84033,2.64682,2.1915,0.0008119,0.0008119,0.0008119
21,3935.44,1.61274,2.45219,1.96681,0.50851,0.39375,0.40171,0.25807,1.90515,2.66515,2.19082,0.000802,0.000802,0.000802
22,4124.79,1.59722,2.46545,1.9686,0.53106,0.40289,0.39492,0.2576,1.88212,2.73133,2.22382,0.0007921,0.0007921,0.0007921
23,4299.48,1.56655,2.38799,1.94705,0.64427,0.37836,0.41719,0.28599,1.86555,2.5826,2.19729,0.0007822,0.0007822,0.0007822
24,4490.15,1.56731,2.35183,1.93279,0.64077,0.42899,0.43426,0.27696,1.94023,2.66208,2.23726,0.0007723,0.0007723,0.0007723
25,4668.81,1.53136,2.36721,1.91598,0.38543,0.40777,0.4112,0.28913,1.80166,2.54978,2.17271,0.0007624,0.0007624,0.0007624
26,4822.09,1.5407,2.34341,1.91508,0.47798,0.41875,0.41486,0.27405,1.87313,2.59781,2.24294,0.0007525,0.0007525,0.0007525
27,4996.23,1.51979,2.27962,1.89913,0.50413,0.41333,0.42865,0.29685,1.79967,2.49071,2.16826,0.0007426,0.0007426,0.0007426
28,5156.16,1.45928,2.22797,1.84598,0.44146,0.42041,0.43466,0.30498,1.79319,2.52083,2.13661,0.0007327,0.0007327,0.0007327
29,5329.89,1.49336,2.24026,1.86591,0.57636,0.38289,0.43875,0.31295,1.76454,2.57682,2.09186,0.0007228,0.0007228,0.0007228
30,5503.54,1.44119,2.19817,1.8272,0.39465,0.46292,0.44944,0.29863,1.85633,2.55627,2.18518,0.0007129,0.0007129,0.0007129
