epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,14886.2,1.11057,2.22628,1.4049,1.48738,0.68298,0.65835,0.68057,0.52195,0.69132,0.66128,0.67951,0.51637,1.25403,2.26754,1.41174,1.6378,0.00218918,0.00218918,0.00218918
65,15115.7,1.08096,2.14222,1.3769,1.4482,0.68257,0.66109,0.68846,0.52767,0.67334,0.65977,0.67734,0.5095,1.25746,2.28322,1.39969,1.63472,0.00216598,0.00216598,0.00216598
66,15342.5,1.06827,2.15087,1.35343,1.45144,0.68187,0.65223,0.6867,0.52908,0.66284,0.65964,0.67261,0.51193,1.25393,2.24749,1.40118,1.63404,0.00214259,0.00214259,0.00214259
67,15573.7,1.0952,2.16985,1.36869,1.4643,0.7056,0.64004,0.67706,0.51451,0.70548,0.6406,0.66924,0.50237,1.25997,2.27513,1.43367,1.64156,0.002119,0.002119,0.002119
68,15806.1,1.08323,2.18242,1.36176,1.45816,0.68854,0.68012,0.68898,0.53023,0.6929,0.67169,0.68289,0.51243,1.25157,2.26076,1.37775,1.6364,0.00209524,0.00209524,0.00209524
69,16038.8,1.07156,2.12337,1.33531,1.44579,0.69797,0.65093,0.6967,0.52413,0.70199,0.65356,0.69619,0.52124,1.24765,2.23671,1.4046,1.63103,0.00207129,0.00207129,0.00207129
70,16270.8,1.05467,2.12183,1.32326,1.42828,0.72375,0.65012,0.70323,0.53952,0.72606,0.65148,0.70204,0.52971,1.24056,2.22817,1.3733,1.60993,0.00204718,0.00204718,0.00204718
71,16502.5,1.06618,2.15605,1.33165,1.43154,0.69932,0.67418,0.69686,0.53922,0.70498,0.66883,0.68867,0.52581,1.22441,2.25819,1.37852,1.60052,0.0020229,0.0020229,0.0020229
72,16733.7,1.05097,2.1268,1.32933,1.43283,0.68242,0.6638,0.66915,0.51832,0.68392,0.64319,0.65754,0.50541,1.25255,2.32424,1.46866,1.63314,0.00199847,0.00199847,0.00199847
73,16964.8,1.05779,2.1205,1.30383,1.43446,0.70994,0.67395,0.70567,0.53864,0.69712,0.66893,0.69499,0.52782,1.22089,2.22301,1.36411,1.60773,0.00197389,0.00197389,0.00197389
74,17196.2,1.03754,2.10298,1.28155,1.41623,0.70629,0.66104,0.69336,0.53554,0.72061,0.66176,0.69021,0.52003,1.25462,2.25324,1.41385,1.63269,0.00194917,0.00194917,0.00194917
75,17428.8,1.0348,2.04436,1.27042,1.40981,0.73545,0.6733,0.71037,0.53903,0.732,0.67569,0.70584,0.52677,1.23747,2.21263,1.33205,1.6155,0.00192432,0.00192432,0.00192432
76,17661.1,1.07627,2.14102,1.31982,1.44523,0.68141,0.67611,0.70312,0.53545,0.67968,0.67476,0.69724,0.52061,1.21441,2.20102,1.36316,1.57677,0.00189935,0.00189935,0.00189935
77,17892.9,1.05099,2.09844,1.29284,1.42685,0.6926,0.68151,0.71484,0.54614,0.6907,0.68883,0.71009,0.53311,1.20901,2.20676,1.32984,1.57962,0.00187425,0.00187425,0.00187425
78,18124.9,1.01601,2.0473,1.2349,1.39407,0.72614,0.68381,0.72144,0.54773,0.72451,0.67841,0.71137,0.53244,1.20891,2.20268,1.33484,1.58365,0.00184905,0.00184905,0.00184905
79,18357.4,1.00371,2.03581,1.20432,1.37882,0.72433,0.69167,0.72653,0.55683,0.72217,0.69004,0.71592,0.53398,1.21433,2.20148,1.30532,1.6014,0.00182375,0.00182375,0.00182375
80,18589,1.02184,2.05041,1.23945,1.40141,0.75423,0.66325,0.72136,0.54372,0.75435,0.66513,0.71595,0.5304,1.21169,2.18914,1.33574,1.59535,0.00179835,0.00179835,0.00179835
81,18821.1,1.01026,2.03395,1.21681,1.39318,0.74536,0.68601,0.72258,0.5554,0.75032,0.68252,0.7199,0.53944,1.22832,2.16739,1.31334,1.60383,0.00177287,0.00177287,0.00177287
82,19052.6,0.98803,1.97077,1.1899,1.36857,0.72631,0.68697,0.71251,0.53852,0.72505,0.68835,0.70342,0.52559,1.22687,2.21378,1.3493,1.61073,0.00174731,0.00174731,0.00174731
83,19284.4,1.01613,2.03455,1.22797,1.39342,0.74442,0.67401,0.71953,0.55122,0.75068,0.66621,0.71046,0.52785,1.22559,2.21711,1.33163,1.61399,0.00172167,0.00172167,0.00172167
84,19517.2,1.01337,2.05074,1.22501,1.39609,0.73477,0.67652,0.71337,0.54168,0.7521,0.66028,0.70665,0.53066,1.22086,2.23677,1.35183,1.60718,0.00169598,0.00169598,0.00169598
85,19748.5,1.00231,2.03556,1.20874,1.38416,0.72521,0.69856,0.7254,0.55236,0.7198,0.69462,0.7145,0.53305,1.21666,2.20689,1.29694,1.59698,0.00167022,0.00167022,0.00167022
86,19980.5,0.99076,2.01922,1.18757,1.37664,0.73924,0.68767,0.7266,0.55739,0.73612,0.67693,0.7157,0.5387,1.20105,2.19301,1.29188,1.59082,0.00164443,0.00164443,0.00164443
87,20212.1,0.98882,2.00582,1.17838,1.37243,0.71971,0.69211,0.71582,0.55018,0.71613,0.68925,0.71004,0.5349,1.22402,2.19292,1.2993,1.59843,0.00161859,0.00161859,0.00161859
88,20443.4,0.98297,1.94225,1.14595,1.3613,0.70656,0.69191,0.71592,0.55679,0.71738,0.69056,0.70957,0.54085,1.22703,2.20438,1.31827,1.60282,0.00159272,0.00159272,0.00159272
89,20675,0.96934,1.96362,1.14615,1.35453,0.72838,0.68598,0.72699,0.55791,0.74862,0.67427,0.71834,0.54062,1.21608,2.18573,1.30857,1.60274,0.00156683,0.00156683,0.00156683
90,20907,0.96582,1.91861,1.12113,1.34491,0.71653,0.69206,0.72452,0.5624,0.71588,0.69233,0.71629,0.54545,1.21461,2.19974,1.3017,1.59295,0.00154092,0.00154092,0.00154092
91,21138.7,0.95993,1.9451,1.13166,1.34693,0.73951,0.68443,0.72132,0.55534,0.74276,0.68477,0.71249,0.53592,1.20426,2.17578,1.2776,1.58263,0.001515,0.001515,0.001515
92,21370.7,0.97808,1.98735,1.16258,1.35702,0.73332,0.69373,0.72206,0.55505,0.75226,0.68518,0.71638,0.53797,1.21269,2.18101,1.30275,1.5793,0.00148908,0.00148908,0.00148908
93,21603,0.96455,1.94892,1.1109,1.35481,0.73861,0.68454,0.72632,0.5634,0.7588,0.67593,0.71718,0.53822,1.22533,2.20737,1.28666,1.59277,0.00146317,0.00146317,0.00146317
94,21835.1,0.95308,1.91834,1.09112,1.3426,0.73595,0.68459,0.7209,0.56238,0.74101,0.68856,0.71751,0.5405,1.21432,2.17653,1.29259,1.59074,0.00143728,0.00143728,0.00143728
95,22067.2,0.9808,1.94388,1.12249,1.35733,0.75885,0.6939,0.73346,0.56499,0.75654,0.69051,0.72514,0.54587,1.21837,2.1775,1.26973,1.59265,0.00141141,0.00141141,0.00141141
96,22298.8,0.94588,1.91949,1.08231,1.33277,0.73548,0.69804,0.73538,0.57407,0.7347,0.70181,0.73111,0.55188,1.20561,2.17399,1.26337,1.58907,0.00138557,0.00138557,0.00138557
97,22530.7,0.93717,1.87896,1.05902,1.32167,0.77361,0.67069,0.72891,0.56587,0.75507,0.68129,0.72355,0.55028,1.19877,2.18276,1.27575,1.5723,0.00135978,0.00135978,0.00135978
98,22762.7,0.94557,1.9214,1.07008,1.33479,0.78394,0.6958,0.74452,0.57265,0.78211,0.68414,0.72701,0.55026,1.19741,2.18138,1.25275,1.56907,0.00133402,0.00133402,0.00133402
99,22994.6,0.94478,1.90482,1.06761,1.32864,0.74018,0.69534,0.73973,0.57283,0.76483,0.68321,0.73034,0.5541,1.1856,2.18675,1.26641,1.57253,0.00130833,0.00130833,0.00130833
100,23226.5,0.95196,1.89841,1.06846,1.33218,0.75185,0.69806,0.74225,0.57207,0.74844,0.69964,0.73457,0.55278,1.20403,2.19258,1.23507,1.57458,0.00128269,0.00128269,0.00128269
101,23458.7,0.94953,1.91015,1.07958,1.33834,0.7313,0.70569,0.74302,0.57552,0.72927,0.70305,0.73475,0.55206,1.19155,2.18657,1.22158,1.56352,0.00125713,0.00125713,0.00125713
